feature,importance
corridor_closure_rate,0.29060895500346856
cause_risk_rate,0.16098993667981434
lat_norm,0.11232341743558981
lon_norm,0.10373415124844558
ps_event_freq,0.04871579886483631
hour,0.03545179586393998
event_cause_pot_holes,0.029174777645218832
junction_event_freq,0.020430619363200998
day_of_week,0.01799371102210998
corridor_event_freq,0.015474502789432179
event_cause_others,0.014175906269318219
event_cause_tree_fall,0.011861564894937395
month,0.010969095232112645
event_cause_accident,0.010319717653915315
event_cause_road_conditions,0.00838300872393909
corridor_Airport New South Road,0.007096446954774052
veh_type_bmtc_bus,0.00672431034100169
event_cause_construction,0.004763785272696778
veh_type_unknown,0.004700630814869414
event_cause_vehicle_breakdown,0.004549370496479492
event_cause_water_logging,0.004454144969520862
time_period_morning_peak,0.004127500023362068
zone_Unknown,0.003838680348218754
veh_type_heavy_vehicle,0.0035231198690151067
corridor_Non-corridor,0.0031970913447639244
